x,T
0.0,378.15
1e-06,378.0585609265317
2e-06,377.96712200546176
3e-06,377.87568338918766
4e-06,377.78424523010545
5e-06,377.69280768060884
6e-06,377.6013708930885
7e-06,377.50993501993133
8e-06,377.4185002135197
9e-06,377.3270666262305
1e-05,377.2356344104346
1.1e-05,377.1442037184961
1.2e-05,377.05277470277133
1.3e-05,376.96134751560834
1.4e-05,376.869922309346
1.5e-05,376.7784992363133
1.6e-05,376.6870784488285
1.7e-05,376.5956600991986
1.8e-05,376.5042443397182
1.9e-05,376.41283132266904
2e-05,376.32142120031915
2.1e-05,376.23001412492215
2.2e-05,376.1386102487164
2.3e-05,376.0472097239242
2.4e-05,375.9558127027511
2.5e-05,375.86441933738524
2.6e-05,375.7730297799964
2.7e-05,375.6816441827354
2.8e-05,375.5902626977331
2.9e-05,375.4988854771001
3e-05,375.4075126729254
3.1e-05,375.316144437276
3.2e-05,375.2247809221962
3.3e-05,375.1334222797066
3.4e-05,375.04206866180346
3.5e-05,374.950720220458
3.6e-05,374.8593771076154
3.7e-05,374.76803947519437
3.8e-05,374.67670747508623
3.9e-05,374.5853812591542
4e-05,374.4940609792324
4.1e-05,374.40274678712547
4.2e-05,374.31143883460766
4.3e-05,374.2201372734219
4.4e-05,374.1288422552794
4.5e-05,374.0375539318584
4.6e-05,373.946272454804
4.7e-05,373.8549979757269
4.8e-05,373.76373064620304
4.9e-05,373.67247061777243
5e-05,373.5812180419388
5.1e-05,373.4899730701686
5.2e-05,373.39873585389034
5.3e-05,373.3075065444937
5.4e-05,373.2162852933291
5.5e-05,373.15
5.6e-05,373.15
5.7e-05,373.15
5.8e-05,373.15
5.9e-05,373.15
6e-05,373.15
6.1e-05,373.15
6.2e-05,373.15
6.3e-05,373.15
6.4e-05,373.15
6.5e-05,373.15
6.6e-05,373.15
6.7e-05,373.15
6.8e-05,373.15
6.9e-05,373.15
7e-05,373.15
7.1e-05,373.15
7.2e-05,373.15
7.3e-05,373.15
7.4e-05,373.15
7.5e-05,373.15
7.6e-05,373.15
7.7e-05,373.15
7.8e-05,373.15
7.9e-05,373.15
8e-05,373.15
8.1e-05,373.15
8.2e-05,373.15
8.3e-05,373.15
8.4e-05,373.15
8.5e-05,373.15
8.6e-05,373.15
8.7e-05,373.15
8.8e-05,373.15
8.9e-05,373.15
9e-05,373.15
9.1e-05,373.15
9.2e-05,373.15
9.3e-05,373.15
9.4e-05,373.15
9.5e-05,373.15
9.6e-05,373.15
9.7e-05,373.15
9.8e-05,373.15
9.9e-05,373.15
0.0001,373.15
0.000101,373.15
0.000102,373.15
0.000103,373.15
0.000104,373.15
0.000105,373.15
0.000106,373.15
0.000107,373.15
0.000108,373.15
0.000109,373.15
0.00011,373.15
0.000111,373.15
0.000112,373.15
0.000113,373.15
0.000114,373.15
0.000115,373.15
0.000116,373.15
0.000117,373.15
0.000118,373.15
0.000119,373.15
0.00012,373.15
0.000121,373.15
0.000122,373.15
0.000123,373.15
0.000124,373.15
0.000125,373.15
0.000126,373.15
0.000127,373.15
0.000128,373.15
0.000129,373.15
0.00013,373.15
0.000131,373.15
0.000132,373.15
0.000133,373.15
0.000134,373.15
0.000135,373.15
0.000136,373.15
0.000137,373.15
0.000138,373.15
0.000139,373.15
0.00014,373.15
0.000141,373.15
0.000142,373.15
0.000143,373.15
0.000144,373.15
0.000145,373.15
0.000146,373.15
0.000147,373.15
0.000148,373.15
0.000149,373.15
0.00015,373.15
0.000151,373.15
0.000152,373.15
0.000153,373.15
0.000154,373.15
0.000155,373.15
0.000156,373.15
0.000157,373.15
0.000158,373.15
0.000159,373.15
0.00016,373.15
0.000161,373.15
0.000162,373.15
0.000163,373.15
0.000164,373.15
0.000165,373.15
0.000166,373.15
0.000167,373.15
0.000168,373.15
0.000169,373.15
0.00017,373.15
0.000171,373.15
0.000172,373.15
0.000173,373.15
0.000174,373.15
0.000175,373.15
0.000176,373.15
0.000177,373.15
0.000178,373.15
0.000179,373.15
0.00018,373.15
0.000181,373.15
0.000182,373.15
0.000183,373.15
0.000184,373.15
0.000185,373.15
0.000186,373.15
0.000187,373.15
0.000188,373.15
0.000189,373.15
0.00019,373.15
0.000191,373.15
0.000192,373.15
0.000193,373.15
0.000194,373.15
0.000195,373.15
0.000196,373.15
0.000197,373.15
0.000198,373.15
0.000199,373.15
0.0002,373.15
0.000201,373.15
0.000202,373.15
0.000203,373.15
0.000204,373.15
0.000205,373.15
0.000206,373.15
0.000207,373.15
0.000208,373.15
0.000209,373.15
0.00021,373.15
0.000211,373.15
0.000212,373.15
0.000213,373.15
0.000214,373.15
0.000215,373.15
0.000216,373.15
0.000217,373.15
0.000218,373.15
0.000219,373.15
0.00022,373.15
0.000221,373.15
0.000222,373.15
0.000223,373.15
0.000224,373.15
0.000225,373.15
0.000226,373.15
0.000227,373.15
0.000228,373.15
0.000229,373.15
0.00023,373.15
0.000231,373.15
0.000232,373.15
0.000233,373.15
0.000234,373.15
0.000235,373.15
0.000236,373.15
0.000237,373.15
0.000238,373.15
0.000239,373.15
0.00024,373.15
0.000241,373.15
0.000242,373.15
0.000243,373.15
0.000244,373.15
0.000245,373.15
0.000246,373.15
0.000247,373.15
0.000248,373.15
0.000249,373.15
0.00025,373.15
